name,badge,agency
"Alejandro, Tobias",75465,KCSO
"Amador, Daniel",6091,SPD
"Atwood, Tiffany",70950,KCSO
"Babauta, Jesse",72883,KCSO
"Baily, Anthony",5502,SPD
"Basney, Lance",5947,SPD
"Bermudez, Layla",99964,DAJD
"Blackmer, David",6147,SPD
"Bolser, Donald",77883,DAJD
"Buchan, Adam",79665,KCSO
"Burns, Dewey",71152,KCSO
"Chapackdee, Alex",6657,SPD
"Clemmons, John (Mike)",5418,Auburn
"Cook, Cedric",64934,DAJD
"Crenshaw, Raphael",69769,KCSO
"Crispin, Ashley",142,FWPD
"Davis, Michael",71833,DAJD
"Dechant, Christopher",131,Mercer Island
"Delgardo, Curtis",66889,DAJD
"Douglas, Jamie",1670,Auburn PD
"Ellithorpe, David",6090,SPD
"Faaumu, Sekonaia",104394,DAJD
"Ferguson, Brett",7793,Renton
"Fox, John",5276,Capital
"Frerichs, Ivanca",8142,SPD
"Garcia, Cesar",76590,SPD
"Flack, Christina",Capital Security Guard,DAJD
"Garske, Michael",000069004,Tacoma PD
"Gibbs, Patrick",390010,KCSO
"Gochnour, Marie",Unknown,WSP
"Goodman, Duane",7090,SPD
"Gorman, Keith",7455,SPD
"Graham, Matthew",72523,DAJD
"Hamrick, Justin",936,WSP
"Hardy, Jerry",71425,DAJD
"Hicks, Edward",99916,KCSO
"Hodel, David",1166,WSP
"Hodge, Joshua",94610,DAJD
"Howard, Caleb",8517,SPD
"Huger, Vince",68133,DAJD
"Hynes, Daniel",7566,SPD
"Johnson, Douglas",102,Tukwila
"Kintner, Ronny",66166,DAJD
"Knight, John",5511,SPD
"Koutouvidis, Gary",52,Tukwila
"LaFavers, Henry",113,Bothell PD
"Leimbach, John",71618,DAJD
"Marinella, Anthony",2052,Redmond
"Marlow, Robert",6365,SPD
"Mattmann, James",64474,DAJD
"McClelland, Lee",66055,DAJD
"McClung, Dan",1008,WSP
"McDade, Matthew",P-307,Bellevue
"Mendez, David",77465,KCSO
"Miles, Felton",5110,SPD
"Moore, Sean",5995,SPD
"Mullens, Mark",5465,SPD
"Muren, Jeffrey",836,WSP
"Murphy, Daniel",76354,KCSO
"Myers, Casey",709,WSP
"Ortiz, Marcos",6389,SPD
"Parsons, Berdon",97331,KCSO
"Porter, Steve",65446,DAJD
"Ramirez, Ismael",1810,Medina
"Sandu, Yaroslav",95838,KCSO
"Schmitz, Debby",66221,KCSO
"Seese, James ""Jay""",143,Tukwila
"Stankiewicz, Michael",6227,SPD
"Stevenson, Patrick",78,"Lake Stevens"
"Sweetland, Joel",4931,SPD
"Tomlinson, Gregory",5913,SPD
"Torres, Carlos",983,WSP
"Washington, Tanya",67103,DAJD
"Wilson, Terry",0096,FWPD
"Woo-Ching, Patrick",63853,DAJD
"Wright, Mitchell",72767,KCSO
